año,municipio,departamento,categoria,grupo_especifico,tipo_violencia,lat,lon
2012,SAMANIEGO,NARIÑO,GUERRILLA,,AT_Atentados_Terroristas,1.430555262,-77.69179559
2012,EL CHARCO,NARIÑO,GUERRILLA,FARC,AT_Atentados_Terroristas,2.216382295,-77.99533234
2012,VISTAHERMOSA,META,GUERRILLA,FARC,AT_Atentados_Terroristas,3.218280369,-73.79453841
2012,PRADERA,VALLE DEL CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,3.42063665,-76.17841841
2012,BALBOA,CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,2.084732945,-77.2088133
2013,TIMBIO,CAUCA,DESCONOCIDO,,AT_Atentados_Terroristas,2.369625312,-76.71051932
2013,ARGELIA,CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,2.329337283,-77.26314906
2013,SAN ANDRES DE TUMACO,NARIÑO,GUERRILLA,FARC,AT_Atentados_Terroristas,1.574550638,-78.61540963
2014,MEDELLIN,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,6.250063,-75.578661
2014,MIRANDA,CAUCA,GUERRILLA,FARC,AT_Atentados_Terroristas,3.228235212,-76.21670827
2015,EL CHARCO,NARIÑO,GRUPO ARMADO NO IDENTIFICADO,,AT_Atentados_Terroristas,2.216382295,-77.99533234
2015,BUENAVENTURA,VALLE DEL CAUCA,DESCONOCIDO,,AT_Atentados_Terroristas,3.493340766,-77.11872831
2015,BARBACOAS,NARIÑO,DESCONOCIDO,,AT_Atentados_Terroristas,1.44563774,-78.15621072
2015,PUERTO ASIS,PUTUMAYO,GUERRILLA,FARC,AT_Atentados_Terroristas,0.433884539,-76.52158203
2015,ANORI,ANTIOQUIA,GUERRILLA,FARC,AT_Atentados_Terroristas,7.193110778,-75.10848954
2015,MOCOA,PUTUMAYO,GUERRILLA,FARC,AT_Atentados_Terroristas,1.26070915,-76.66584349
